SectionID,SID,First,Last,ALG01,ALG02,ELA06,ELA07,ELA08,ELA09,ELA10,ELA11,English  --  English (6)  --  Regular,English  --  English (7)  --  Honors,English  --  English (7)  --  Regular,English  --  English (8)  --  Honors,English  --  English (8)  --  Regular,English  --  English 1 (9)  --  Honors,English  --  English 1 (9)  --  PC,English  --  English 1 (9)  --  Regular,English  --  English 2 (10)  --  Honors,English  --  English 2 (10)  --  Regular,English  --  English 3 (11)  --  AP,English  --  English 3 (11)  --  Honors,English  --  English 3 (11)  --  Regular,GEO01,MAT06,MAT07,MAT08,Math  --  6th Grade Mathematics  --  RC,Math  --  6th Grade Mathematics  --  Regular,Math  --  7th Grade Mathematics  --  RC,Math  --  7th Grade Mathematics  --  Regular,Math  --  8th Grade Mathematics  --  Regular,Math  --  Accelerated Math  --  Honors,Math  --  Algebra 1  --  Concepts,Math  --  Algebra 1  --  Honors,Math  --  Algebra 1  --  PC,Math  --  Algebra 1  --  Regular,Math  --  Algebra 2  --  Concepts,Math  --  Algebra 2  --  Honors,Math  --  Algebra 2  --  Regular,Math  --  AP CALC AB  --  AP,Math  --  AP CALC BC  --  AP,Math  --  AP Statistics  --  AP,Math  --  Geometry  --  Concepts,Math  --  Geometry  --  Honors,Math  --  Geometry  --  PC,Math  --  Geometry  --  Regular,Math  --  Math Analysis  --  Honors,Math  --  Math Analysis  --  Regular,Max Abs 2011,Max Abs 2012,Max Abs 2013,Max Abs 2014,Max Abs 2015,Max Abs 2016,NJASK 8,NJBCT,PSATLAL,PSATMATH,Science  --  6th Grade Science  --  Regular,Science  --  7th Grade Science  --  Regular,Science  --  8th Grade Science  --  Honors,Science  --  8th Grade Science  --  Regular,Science  --  AP Biology  --  AP,Science  --  AP Chemistry  --  AP,Science  --  AP Environmental Science  --  AP,Science  --  AP Physics 1  --  AP,Science  --  AP Physics 2  --  AP,Science  --  Biology  --  Concepts,Science  --  Biology  --  Honors,Science  --  Biology  --  PC,Science  --  Biology  --  Regular,Science  --  Chemistry  --  Concepts,Science  --  Chemistry  --  Honors,Science  --  Chemistry  --  Regular,Science  --  Physics  --  Concepts,Science  --  Physics  --  Honors,Science  --  Physics  --  Regular
3,217634,Greg,Cannon,NA,817,NA,NA,796,828,829,NA,NA,90.5,NA,93.25,NA,87,NA,NA,94,NA,NA,NA,NA,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,NA,NA,NA,96,NA,NA,NA,NA,NA,89.5,NA,NA,96,NA,NA,0,10,0,4,1,298,300,700,730,NA,96,91.75,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,97.2,NA,NA,NA,NA
3,239638,Lee,Gonzalez,774,801,NA,766,782,795,NA,NA,88.5,NA,84.5,NA,83.75,NA,NA,87,NA,NA,NA,NA,NA,792,NA,NA,NA,NA,NA,NA,NA,NA,87.75,NA,84,NA,NA,NA,92.65,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,5,0,0,4,300,270,600,600,90.25,94.75,89.5,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA
3,580376,Marion,Vaughn,770,763,NA,NA,781,776,749,NA,NA,NA,82.25,NA,84.75,NA,84,NA,NA,88,NA,NA,NA,756,NA,NA,NA,NA,89.5,NA,NA,NA,85,NA,88.5,NA,NA,NA,NA,79.11,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,0,22,0,6,4,257,240,500,600,85,87.25,NA,87.75,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,85.07,NA,NA,NA
3,660529,Silvia,Singleton,791,NA,777,796,759,NA,NA,NA,87.25,NA,84.5,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,761,787,NA,NA,91,NA,NA,NA,85.5,NA,92.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,10,235,NA,NA,NA,86.25,94.25,86.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,967265,Allan,Holloway,NA,NA,NA,751,NA,747,NA,NA,85,NA,85.75,NA,89.5,NA,82,NA,NA,NA,NA,NA,NA,765,NA,746,NA,NA,88.75,NA,NA,NA,91.75,NA,91.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.075,NA,NA,NA,NA,NA,14,1,2,11,256,260,460,540,88.75,90.25,NA,90,NA,NA,NA,NA,NA,NA,NA,89,NA,NA,NA,NA,NA,NA,NA
3,990079,Erma,Nunez,802,NA,813,821,850,NA,NA,NA,93,94.75,NA,93.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,824,814,NA,NA,NA,NA,NA,NA,NA,91.75,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.5,NA,NA,NA,NA,NA,NA,NA,0,0,3,300,NA,NA,NA,97,99,95.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,539358,Dolores,Pope,NA,822,NA,NA,810,824,797,NA,NA,92.5,NA,94,NA,94,NA,NA,95,NA,NA,NA,NA,792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.25,NA,NA,NA,97.65,NA,NA,NA,NA,NA,93.75,NA,NA,98.525,NA,NA,0,11,0,3,3,282,299,630,660,NA,96.75,93.75,NA,NA,NA,NA,90.58,NA,NA,94.59,NA,NA,NA,93.41,NA,NA,NA,NA
4,765166,David,Rodriquez,781,NA,NA,NA,762,769,773,NA,NA,NA,87.5,NA,86.75,NA,84,NA,NA,91,NA,NA,NA,770,NA,NA,769,NA,NA,NA,92,93.25,NA,NA,NA,94,NA,NA,NA,NA,NA,NA,NA,NA,88.38,NA,NA,NA,NA,NA,0,5,0,3,4,271,251,580,590,NA,92,NA,90.5,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,88.5,NA,NA,NA
4,200279,Lucy,Lopez,791,788,NA,771,774,778,NA,NA,NA,NA,NA,NA,NA,92.6,NA,NA,NA,NA,NA,NA,NA,782,NA,769,NA,NA,90.25,NA,NA,NA,90,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.29,NA,NA,NA,NA,NA,3,9,0,0,5,NA,282,560,570,93.5,96,91.25,NA,NA,NA,NA,NA,NA,NA,93.46,NA,NA,NA,NA,NA,NA,NA,NA
4,151121,Barbara,Mullins,773,NA,NA,NA,777,785,781,NA,NA,NA,85.75,NA,84,NA,82,NA,NA,94,NA,NA,NA,762,NA,NA,NA,NA,NA,NA,NA,NA,82.25,NA,71.25,90,NA,NA,NA,NA,NA,NA,NA,NA,80.5,NA,NA,NA,NA,NA,0,0,0,3,4,261,277,610,590,NA,93,NA,89.75,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,NA,88.6,NA,NA,NA
